Course Code,Course Name,Group,Schedule,Enrolled
ACCT 2101,Financial Accounting,1,MW 9:00 AM - 10:30 AM,68/70
ACCT 2101,Financial Accounting,2,TTh 10:00 AM - 11:30 AM,69/70
ACCT 2101,Financial Accounting,3,MW 1:00 PM - 2:30 PM,70/70
ACCT 2102,Managerial Accounting,1,MW 11:00 AM - 12:30 PM,62/65
ACCT 2102,Managerial Accounting,2,TTh 1:00 PM - 2:30 PM,64/65
ACCT 2102,Managerial Accounting,3,MW 3:00 PM - 4:30 PM,65/65
ACCT 3110,Intermediate Accounting I,1,TTh 9:00 AM - 10:30 AM,55/60
ACCT 3110,Intermediate Accounting I,2,MW 10:00 AM - 11:30 AM,58/60
ACCT 3110,Intermediate Accounting I,3,TTh 2:00 PM - 3:30 PM,60/60
ACCT 3220,Cost Accounting,1,MW 8:00 AM - 9:30 AM,48/50
ACCT 3220,Cost Accounting,2,TTh 11:00 AM - 12:30 PM,49/50
ACCT 3220,Cost Accounting,3,MW 2:00 PM - 3:30 PM,50/50
ACCT 4150,Auditing,1,MW 12:00 PM - 1:30 PM,42/45
ACCT 4150,Auditing,2,TTh 8:00 AM - 9:30 AM,44/45
ACCT 4150,Auditing,3,MW 4:00 PM - 5:30 PM,45/45
BUSA 2106,Legal Environment of Business,1,MW 9:00 AM - 10:30 AM,48/50
BUSA 2106,Legal Environment of Business,2,TTh 9:00 AM - 10:30 AM,49/50
BUSA 2106,Legal Environment of Business,3,MW 11:00 AM - 12:30 PM,50/50
