Course Code,Course Name,Group,Schedule,Enrolled
ENGR 2100,Engineering Mechanics,1,MW 9:00 AM - 10:30 AM,35/40
ENGR 2100,Engineering Mechanics,2,TTh 9:00 AM - 10:30 AM,38/40
ENGR 2100,Engineering Mechanics,3,MW 2:00 PM - 3:30 PM,40/40
ENGR 2220,Thermodynamics,1,MW 11:00 AM - 12:30 PM,28/35
ENGR 2220,Thermodynamics,2,TTh 1:00 PM - 2:30 PM,32/35
ENGR 2220,Thermodynamics,3,MW 3:00 PM - 4:30 PM,35/35
ENGR 3110,Fluid Mechanics,1,TTh 8:00 AM - 9:30 AM,22/30
ENGR 3110,Fluid Mechanics,2,MW 10:00 AM - 11:30 AM,26/30
ENGR 3110,Fluid Mechanics,3,TTh 3:00 PM - 4:30 PM,30/30
ENGR 2400,Materials Science,1,MW 1:00 PM - 2:30 PM,45/50
ENGR 2400,Materials Science,2,TTh 11:00 AM - 12:30 PM,48/50
ENGR 2400,Materials Science,3,MW 4:00 PM - 5:30 PM,50/50
ENGR 3300,Circuit Analysis,1,MW 8:00 AM - 9:30 AM,32/35
ENGR 3300,Circuit Analysis,2,TTh 10:00 AM - 11:30 AM,33/35
ENGR 3300,Circuit Analysis,3,MW 12:00 PM - 1:30 PM,35/35
MATH 3020,Differential Equations,1,TTh 9:00 AM - 10:30 AM,42/45
MATH 3020,Differential Equations,2,MW 11:00 AM - 12:30 PM,44/45
MATH 3020,Differential Equations,3,TTh 2:00 PM - 3:30 PM,45/45
