Course Code,Course Name,Group,Schedule,Enrolled
FIN 3100,Corporate Finance,1,MW 9:00 AM - 10:30 AM,52/55
FIN 3100,Corporate Finance,2,TTh 11:00 AM - 12:30 PM,54/55
FIN 3100,Corporate Finance,3,MW 2:00 PM - 3:30 PM,55/55
FIN 3220,Investment Analysis,1,MW 11:00 AM - 12:30 PM,48/50
FIN 3220,Investment Analysis,2,TTh 1:00 PM - 2:30 PM,49/50
FIN 3220,Investment Analysis,3,MW 3:00 PM - 4:30 PM,50/50
FIN 3340,Financial Markets and Institutions,1,TTh 9:00 AM - 10:30 AM,42/45
FIN 3340,Financial Markets and Institutions,2,MW 10:00 AM - 11:30 AM,44/45
FIN 3340,Financial Markets and Institutions,3,TTh 2:00 PM - 3:30 PM,45/45
FIN 3450,Risk Management,1,MW 8:00 AM - 9:30 AM,35/40
FIN 3450,Risk Management,2,TTh 10:00 AM - 11:30 AM,38/40
FIN 3450,Risk Management,3,MW 1:00 PM - 2:30 PM,40/40
FIN 4100,International Finance,1,MW 12:00 PM - 1:30 PM,32/35
FIN 4100,International Finance,2,TTh 8:00 AM - 9:30 AM,33/35
FIN 4100,International Finance,3,MW 4:00 PM - 5:30 PM,35/35
ECON 2105,Principles of Macroeconomics,1,MW 2:00 PM - 3:30 PM,42/45
ECON 2105,Principles of Macroeconomics,2,TTh 2:00 PM - 3:30 PM,44/45
ECON 2105,Principles of Macroeconomics,3,MW 4:00 PM - 5:30 PM,45/45
