Course Code,Course Name,Group,Schedule,Enrolled
LAW 1101,Introduction to Legal Systems,1,MW 9:00 AM - 11:00 AM,55/60
LAW 1101,Introduction to Legal Systems,2,TTh 1:00 PM - 3:00 PM,58/60
LAW 1101,Introduction to Legal Systems,3,MW 2:00 PM - 4:00 PM,60/60
LAW 2210,Constitutional Law,1,MW 10:00 AM - 12:00 PM,48/50
LAW 2210,Constitutional Law,2,TTh 9:00 AM - 11:00 AM,49/50
LAW 2210,Constitutional Law,3,MW 3:00 PM - 5:00 PM,50/50
LAW 2350,Criminal Law,1,TTh 8:00 AM - 10:00 AM,42/45
LAW 2350,Criminal Law,2,MW 11:00 AM - 1:00 PM,44/45
LAW 2350,Criminal Law,3,TTh 2:00 PM - 4:00 PM,45/45
LAW 3120,Contract Law,1,MW 8:00 AM - 10:00 AM,38/40
LAW 3120,Contract Law,2,TTh 11:00 AM - 1:00 PM,39/40
LAW 3120,Contract Law,3,MW 1:00 PM - 3:00 PM,40/40
LAW 2450,Legal Research and Writing,1,MW 12:00 PM - 2:00 PM,25/30
LAW 2450,Legal Research and Writing,2,TTh 10:00 AM - 12:00 PM,28/30
LAW 2450,Legal Research and Writing,3,MW 4:00 PM - 6:00 PM,30/30
POLS 1101,American Government,1,MW 12:00 PM - 1:30 PM,85/90
POLS 1101,American Government,2,TTh 12:00 PM - 1:30 PM,88/90
POLS 1101,American Government,3,MW 5:00 PM - 6:30 PM,90/90
