Course Code,Course Name,Group,Schedule,Enrolled
PHYS 2211,Principles of Physics I,1,MW 1:00 PM - 2:30 PM,28/40
PHYS 2211,Principles of Physics I,2,TTh 8:00 AM - 9:30 AM,35/40
PHYS 2211,Principles of Physics I,3,MW 3:00 PM - 4:30 PM,40/40
PHYS 2212,Principles of Physics II,1,MW 9:00 AM - 10:30 AM,32/40
PHYS 2212,Principles of Physics II,2,TTh 10:00 AM - 11:30 AM,36/40
PHYS 2212,Principles of Physics II,3,MW 2:00 PM - 3:30 PM,40/40
PHYS 3110,Modern Physics,1,TTh 11:00 AM - 12:30 PM,25/30
PHYS 3110,Modern Physics,2,MW 11:00 AM - 12:30 PM,28/30
PHYS 3110,Modern Physics,3,TTh 2:00 PM - 3:30 PM,30/30
PHYS 3240,Quantum Mechanics,1,MW 8:00 AM - 9:30 AM,18/25
PHYS 3240,Quantum Mechanics,2,TTh 1:00 PM - 2:30 PM,22/25
PHYS 3240,Quantum Mechanics,3,MW 4:00 PM - 5:30 PM,25/25
PHYS 3350,Electromagnetism,1,MW 10:00 AM - 11:30 AM,28/35
PHYS 3350,Electromagnetism,2,TTh 9:00 AM - 10:30 AM,32/35
PHYS 3350,Electromagnetism,3,MW 12:00 PM - 1:30 PM,35/35
MATH 3030,Linear Algebra,1,TTh 8:00 AM - 9:30 AM,38/45
MATH 3030,Linear Algebra,2,MW 1:00 PM - 2:30 PM,42/45
MATH 3030,Linear Algebra,3,TTh 3:00 PM - 4:30 PM,45/45
