Course Code,Course Name,Group,Schedule,Enrolled
PSYC 1101,Introduction to Psychology,1,MW 10:00 AM - 11:30 AM,75/80
PSYC 1101,Introduction to Psychology,2,TTh 10:00 AM - 11:30 AM,78/80
PSYC 1101,Introduction to Psychology,3,MW 12:00 PM - 1:30 PM,80/80
PSYC 2210,Developmental Psychology,1,MW 9:00 AM - 10:30 AM,58/65
PSYC 2210,Developmental Psychology,2,TTh 1:00 PM - 2:30 PM,62/65
PSYC 2210,Developmental Psychology,3,MW 3:00 PM - 4:30 PM,65/65
PSYC 2350,Abnormal Psychology,1,TTh 9:00 AM - 10:30 AM,68/70
PSYC 2350,Abnormal Psychology,2,MW 11:00 AM - 12:30 PM,69/70
PSYC 2350,Abnormal Psychology,3,TTh 2:00 PM - 3:30 PM,70/70
PSYC 3140,Cognitive Psychology,1,MW 8:00 AM - 9:30 AM,45/50
PSYC 3140,Cognitive Psychology,2,TTh 11:00 AM - 12:30 PM,48/50
PSYC 3140,Cognitive Psychology,3,MW 2:00 PM - 3:30 PM,50/50
PSYC 3200,Research Methods in Psychology,1,MW 1:00 PM - 2:30 PM,35/40
PSYC 3200,Research Methods in Psychology,2,TTh 8:00 AM - 9:30 AM,38/40
PSYC 3200,Research Methods in Psychology,3,MW 4:00 PM - 5:30 PM,40/40
STAT 2000,Introduction to Statistics,1,MW 8:00 AM - 9:30 AM,48/50
STAT 2000,Introduction to Statistics,2,TTh 8:00 AM - 9:30 AM,49/50
STAT 2000,Introduction to Statistics,3,MW 4:00 PM - 5:30 PM,50/50
